date,n_overlap,mean_abs_prob_revision,max_abs_prob_revision,prob_revision_corr,classification_agreement,mean_drift_l2,transmat_drift_l1,selected_seed_prev,selected_seed_curr,selected_seed_changed
2010-01-29,1268,0.0420075,1,0.92003,0.958202,0.216393,0.00648068,52,46,True
2010-02-26,1287,5.24773e-05,0.0188843,0.999999,1,0.0293056,0.000104046,46,46,False
2010-03-31,1306,8.62411e-05,0.0297699,0.999997,1,0.0432152,0.000118353,46,44,True
2010-04-30,1329,0.182362,1,0.682673,0.817908,0.662098,0.00313205,44,51,True
2010-05-28,1350,0.000193803,0.0957669,0.999972,1,0.0411036,0.000206515,51,51,False
2010-06-30,1370,0.00023133,0.0941628,0.999972,1,0.0402108,0.000202237,51,51,False
2010-07-30,1392,8.81161e-05,0.0379755,0.999995,1,0.0417646,0.000177503,51,51,False
2010-08-31,1413,0.000229442,0.0649281,0.999977,1,0.0465034,0.000174666,51,51,False
2010-09-30,1435,0.00606602,0.987208,0.989107,0.993728,0.0615627,0.000250358,51,50,True
2010-10-29,1456,0.00180631,0.345949,0.999105,0.999313,0.0525508,0.000163189,50,51,True
2010-11-30,1477,0.00505099,0.652491,0.994718,0.993907,0.0588166,0.000202284,51,51,False
2010-12-31,1498,0.00244335,0.315642,0.9988,0.997997,0.040751,0.000117108,51,51,False
2011-01-31,1520,0.00228839,0.346886,0.998718,0.996053,0.0435444,0.000101348,51,46,True
2011-02-28,1540,0.000900192,0.16685,0.999771,0.999351,0.0354337,9.17731e-05,46,51,True
2011-03-31,1559,0.000405466,0.0840894,0.999951,1,0.0333492,0.000104526,51,51,False
2011-04-29,1582,0.000205469,0.0462305,0.999987,1,0.0369849,8.54122e-05,51,51,False
2011-05-31,1602,5.87143e-05,0.0132945,0.999999,1,0.0368401,8.44506e-05,51,46,True
2011-06-30,1623,0.000106695,0.0254082,0.999997,1,0.0299488,8.3443e-05,46,51,True
2011-07-29,1645,0.000106069,0.0272323,0.999996,1,0.0260649,7.1751e-05,51,46,True
2011-08-31,1665,6.73834e-05,0.0209232,0.999998,1,0.0290631,7.78946e-05,46,43,True
2011-09-30,1688,0.000315977,0.0838807,0.999966,1,0.0268405,7.12929e-05,43,51,True
2011-10-31,1709,0.000605978,0.137622,0.999881,1,0.0266136,7.1635e-05,51,51,False
2011-11-30,1730,0.00438701,0.701192,0.995203,0.994798,0.0384952,0.000118668,51,51,False
2011-12-30,1751,0.00319687,0.591594,0.99719,0.996002,0.0317985,0.000296946,51,51,False
2012-01-31,1772,0.00661326,0.849465,0.992523,0.992664,0.0369511,0.00402104,51,49,True
2012-02-29,1792,0.0155911,0.989971,0.975312,0.984933,0.0734864,0.00438612,49,49,False
2012-03-30,1812,0.0891559,1,0.836386,0.910044,0.355659,0.00398558,49,50,True
2012-04-30,1834,3.84011e-05,0.0279498,0.999998,1,0.016963,2.68923e-07,50,50,False
2012-05-31,1854,0.000152724,0.102327,0.999975,1,0.0180015,1.07972e-06,50,43,True
2012-06-29,1876,0.155419,1,0.731989,0.844883,0.579353,0.00576609,43,46,True
2012-07-31,1897,0.00164553,0.43668,0.998881,0.997891,0.0216074,0.000104625,46,51,True
2012-08-31,1918,4.7877e-05,0.0102758,0.999999,1,0.0185107,8.01071e-05,51,51,False
2012-09-28,1941,0.000680817,0.20439,0.99979,0.998454,0.0143776,6.59688e-05,51,46,True
2012-10-31,1960,0.000760675,0.204101,0.999764,0.99898,0.0154159,7.04281e-05,46,51,True
2012-11-30,1981,0.000285434,0.0811346,0.999969,0.999495,0.0160747,7.03018e-05,51,43,True
2012-12-31,2002,0.000353052,0.0899872,0.999955,0.9995,0.0142295,6.0236e-05,43,46,True
2013-01-31,2022,0.000598176,0.174387,0.999873,0.999011,0.0176884,6.83481e-05,46,49,True
2013-02-28,2043,0.000445333,0.126308,0.999915,1,0.014906,5.32902e-05,49,42,True
2013-03-28,2062,0.000143103,0.0475884,0.999992,1,0.0157407,5.33884e-05,42,43,True
2013-04-30,2082,7.27715e-05,0.0260614,0.999998,1,0.0159932,5.74341e-05,43,44,True
2013-05-31,2104,9.24137e-05,0.0317772,0.999996,1,0.016493,5.58312e-05,44,49,True
2013-06-28,2126,8.33953e-05,0.0232871,0.999998,1,0.0154049,5.10542e-05,49,49,False
2013-07-31,2146,0.000256922,0.0743254,0.999979,1,0.021206,5.57439e-05,49,44,True
2013-08-30,2168,0.000356997,0.0990052,0.99996,1,0.0227953,6.15081e-05,44,49,True
2013-09-30,2190,0.270169,1,0.42947,0.730137,0.816525,0.0258714,49,45,True
2013-10-31,2210,0.0137172,0.756676,0.985818,0.983258,0.0381675,0.000865619,45,53,True
2013-11-29,2233,0.023622,0.963982,0.964416,0.976265,0.0841373,0.00283277,53,48,True
2013-12-31,2253,0.000983302,0.100007,0.999921,0.999112,0.0164289,0.000189647,48,56,True
2014-01-31,2274,0.0018364,0.349872,0.998997,0.996482,0.0196724,0.000243051,56,57,True
2014-02-28,2295,0.000427593,0.0927607,0.999968,0.999564,0.0152892,0.000171939,57,47,True
2014-03-31,2314,0.00228517,0.351165,0.99895,0.996111,0.0153638,0.000107778,47,50,True
2014-04-30,2335,0.000460901,0.0430987,0.999979,0.999572,0.0140158,0.000145595,50,49,True
2014-05-30,2356,0.00131759,0.246146,0.999513,1,0.0164687,0.000221835,49,52,True
2014-06-30,2377,0.00199124,0.367491,0.998874,0.995793,0.0198513,0.000244945,52,49,True
2014-07-31,2398,0.000444924,0.0426432,0.999976,0.999583,0.0138931,0.000166441,49,45,True
2014-08-29,2420,0.000377215,0.0394374,0.999985,0.999587,0.0112159,0.000131418,45,44,True
2014-09-30,2441,0.000614064,0.0773876,0.999946,0.99959,0.0111257,0.000135833,44,45,True
2014-10-31,2462,0.000613312,0.0784305,0.999951,1,0.00629339,0.00353947,45,53,True
2014-11-28,2485,0.00156303,0.275456,0.999394,0.996781,0.00787148,7.77067e-05,53,47,True
2014-12-31,2504,0.00151406,0.258525,0.999464,0.999601,0.0100508,0.00367023,47,45,True
2015-01-30,2526,0.00398388,0.565878,0.997245,0.995249,0.0269026,0.00036978,45,55,True
2015-02-27,2546,0.000498653,0.0481502,0.999977,1,0.00975925,0.000177641,55,48,True
2015-03-31,2565,0.000552048,0.0907077,0.999933,1,0.00920706,0.000126884,48,48,False
2015-04-30,2587,0.00171216,0.312904,0.999234,0.996908,0.00502185,0.000115917,48,50,True
2015-05-29,2608,0.000944448,0.130264,0.999858,0.999233,0.00675712,0.000116509,50,45,True
2015-06-30,2628,0.000654643,0.0739833,0.999947,1,0.00895766,0.000126385,45,44,True
2015-07-31,2650,0.000284636,0.0246652,0.999991,0.999623,0.0110708,0.000314614,44,47,True
2015-08-31,2672,0.000405796,0.0344794,0.999983,1,0.0036876,0.00112638,47,42,True
2015-09-30,2693,0.00076896,0.0812931,0.99994,0.998886,0.0236952,0.000635262,42,42,False
2015-10-30,2714,0.000736108,0.0713214,0.999949,0.999632,0.00418341,0.00240292,42,43,True
2015-11-30,2736,0.00017151,0.0124122,0.999998,1,0.00984944,0.000159668,43,42,True
2015-12-31,2756,0.000831316,0.0789521,0.999942,0.998911,0.00648354,0.00165525,42,42,False
2016-01-29,2778,0.00130385,0.129354,0.999817,0.99784,0.0273757,0.00140231,42,42,False
2016-02-29,2797,0.00155468,0.148557,0.999766,0.998927,0.0309053,0.000438676,42,42,False
2016-03-31,2817,0.000934073,0.102447,0.999906,0.999645,0.00770572,0.0026461,42,42,False
2016-04-29,2839,0.000549505,0.0319792,0.99998,0.999648,0.00902299,0.000209816,42,51,True
2016-05-31,2860,0.000453479,0.0441058,0.999982,1,0.011211,0.000390762,51,42,True
