date,n_obs,loglik,min_occupancy,degenerate_occupancy,singular_covariance,absorbing_state,transmat_rows_ok,occupancy_s0,n_eff_s0,persistence_s0,expected_duration_s0,mean_realized_vol_s0,min_eigenvalue_s0,occupancy_s1,n_eff_s1,persistence_s1,expected_duration_s1,mean_realized_vol_s1,min_eigenvalue_s1,guard_triggered
2009-12-31,1268,-3258.69,0.4277,False,False,True,True,0.5723,726.016,0.998622,725.676,0.108531,0.0162935,0.4277,542.664,1,inf,0.291069,0.0880558,True
2010-01-29,1287,-3319.55,0.477537,False,False,False,True,0.522463,673.082,0.997019,335.439,0.10233,0.0150344,0.477537,615.262,0.998363,610.8,0.276895,0.0848143,False
2010-02-26,1306,-3403.11,0.485086,False,False,False,True,0.514914,673.124,0.99702,335.621,0.102336,0.0152447,0.485086,634.168,0.998413,630.202,0.274307,0.0854341,False
2010-03-31,1329,-3519.94,0.493912,False,False,False,True,0.506088,673.199,0.997023,335.859,0.102346,0.0154434,0.493912,657.018,0.99847,653.712,0.268392,0.0875405,False
2010-04-30,1350,-3615.13,0.322259,False,False,False,True,0.677741,915.867,0.997814,457.416,0.127597,0.0215133,0.322259,435.969,0.997695,433.932,0.29934,0.0504656,False
2010-05-28,1370,-3674.98,0.332332,False,False,False,True,0.667668,915.656,0.997813,457.292,0.127554,0.0215799,0.332332,456.246,0.997798,454.165,0.297628,0.0531827,False
2010-06-30,1392,-3729.81,0.342656,False,False,False,True,0.657344,915.944,0.997814,457.462,0.127601,0.0217698,0.342656,477.9,0.997898,475.842,0.297368,0.0512812,False
2010-07-30,1413,-3796.18,0.352339,False,False,False,True,0.647661,916.061,0.997814,457.528,0.12762,0.0220746,0.352339,498.771,0.997987,496.745,0.294191,0.0498588,False
2010-08-31,1435,-3883.07,0.362494,False,False,False,True,0.637506,915.746,0.997814,457.362,0.12758,0.022338,0.362494,521.104,0.998073,519.059,0.289401,0.0497578,False
2010-09-30,1456,-3976.01,0.377667,False,False,False,True,0.622333,907.065,0.997793,453.005,0.12635,0.0213215,0.377667,550.833,0.998178,548.721,0.284684,0.059562,False
2010-10-29,1477,-4076.95,0.388296,False,False,False,True,0.611704,905.579,0.997786,451.685,0.126153,0.0215925,0.388296,575.609,0.998253,572.321,0.278336,0.0625883,False
2010-11-30,1498,-4163.27,0.401852,False,False,False,True,0.598148,898.523,0.997768,447.946,0.125474,0.0219425,0.401852,604.474,0.998335,600.741,0.271771,0.0641116,False
2010-12-31,1520,-4257.72,0.408101,False,False,False,True,0.591899,902.331,0.997777,449.794,0.125838,0.0221567,0.408101,622.962,0.998385,619.108,0.267164,0.0624801,False
2011-01-31,1540,-4328.73,0.413529,False,False,False,True,0.586471,905.338,0.997785,451.538,0.12613,0.0222412,0.413529,639.011,0.998427,635.671,0.261194,0.0598247,False
