specification,n_states,n_origins,n_failed_initializations,n_absorbing_transition,n_degenerate_occupancy,n_singular_covariance,n_guard_triggered,min_occupancy_any_state,mean_occupancy_s0,min_n_eff_s0,mean_realized_vol_s0,mean_persistence_s0,mean_occupancy_s1,min_n_eff_s1,mean_realized_vol_s1,mean_persistence_s1,canonical_ordering_holds,state_vol_ordering,mean_occupancy_s2,min_n_eff_s2,mean_realized_vol_s2,mean_persistence_s2
primary,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723719,673.0823426492005,0.1108379561676978,0.9929798593271545,0.3553502852276303,435.9685598492761,0.26040126087768534,0.9865254452917764,True,0.1108 < 0.2604,,,,
hmm_3_states,3,200,0,5,0,0,5,0.10169570277651943,0.318584618427733,522.6044751712136,0.09985361069268744,0.9942040897677278,0.4537585619286169,486.5138614395545,0.13670824920446856,0.9946100522759656,True,0.0999 < 0.1367 < 0.3215,0.2276568196436516,156.9053669202962,0.32148067411535086,0.9856716777731068
drop_vix,2,200,0,0,0,0,0,0.2530908033449249,0.6571399202438161,689.32032994834,0.11115963323505688,0.9947943652376867,0.34286007975618715,565.9336406125296,0.2687306952809632,0.9885585422235061,True,0.1112 < 0.2687,,,,
drop_realized_vol,2,200,0,5,0,0,5,0.24913562479196713,0.5386896151802746,549.2215134579708,0.10694482793089993,0.9909300964298184,0.46131038481972825,682.2113914557141,0.232061418704116,0.9875431516414025,True,0.1069 < 0.2321,,,,
rolling_5y_window,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723719,673.0823426492005,0.1108379561676978,0.9929798593271545,0.3553502852276303,435.9685598492761,0.26040126087768534,0.9865254452917764,True,0.1108 < 0.2604,,,,
cap_30pct,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723719,673.0823426492005,0.1108379561676978,0.9929798593271545,0.3553502852276303,435.9685598492761,0.26040126087768534,0.9865254452917764,True,0.1108 < 0.2604,,,,
cap_50pct,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723719,673.0823426492005,0.1108379561676978,0.9929798593271545,0.3553502852276303,435.9685598492761,0.26040126087768534,0.9865254452917764,True,0.1108 < 0.2604,,,,
neff_kappa_30,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723719,673.0823426492005,0.1108379561676978,0.9929798593271545,0.3553502852276303,435.9685598492761,0.26040126087768534,0.9865254452917764,True,0.1108 < 0.2604,,,,
neff_kappa_120,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723719,673.0823426492005,0.1108379561676978,0.9929798593271545,0.3553502852276303,435.9685598492761,0.26040126087768534,0.9865254452917764,True,0.1108 < 0.2604,,,,
core_universe,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723761,673.0823426492005,0.11083795616769818,0.9929798593271688,0.355350285227626,435.9685598492761,0.2604012608776869,0.9865254452917844,True,0.1108 < 0.2604,,,,
alt_seeds_100,2,200,0,3,0,0,3,0.294255788196893,0.6443619898500929,673.0238396877472,0.11080184628168581,0.9929672740187376,0.3556380101499093,435.96926573459876,0.2603208390299917,0.9865179508111216,True,0.1108 < 0.2603,,,,
a2_accept_as_estimated,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723719,673.0823426492005,0.1108379561676978,0.9929798593271545,0.3553502852276303,435.9685598492761,0.26040126087768534,0.9865254452917764,True,0.1108 < 0.2604,,,,
a3_total_covariance,2,200,0,4,0,0,4,0.2942558867647404,0.6446497147723719,673.0823426492005,0.1108379561676978,0.9929798593271545,0.3553502852276303,435.9685598492761,0.26040126087768534,0.9865254452917764,True,0.1108 < 0.2604,,,,
