specification,factor_varied,n_assets,max_weight,n_evaluation_days,eval_start,eval_end,sharpe_difference,ci95_lower,ci95_upper,interval_contains_zero,p_one_sided_centered,sign_matches_primary,vol_difference,vol_regime,vol_rolling,cagr_difference,maxdd_difference,half_turnover_pct,full_traded_notional_pct,half_turnover_rolling_pct,ann_cost_expenditure_bps,mean_ief_weight_regime,mean_ief_weight_rolling,mean_max_weight_regime,effective_n_assets_regime,effective_n_assets_rolling,n_hmm_guard_events,n_hmm_failed_initializations,n_a2_fallbacks,n_psd_corrections,n_optimizer_failures,runtime_seconds,shares_common_evaluation_window,p_holm_robustness_family,family,conceptual_order
primary,-,5,0.4,4173,2010-01-04,2026-08-06,0.0209655185414409,-0.0748040227351462,0.1147052243160292,True,0.3273,True,-0.0017544903048136,0.0770852680269275,0.0788397583317412,0.0001834197489136,-0.00029557593044,54.188553504197415,108.37710700839484,16.93822270101275,10.837710700839482,0.3987808495063141,0.3988122840914828,0.4014861791378007,2.924455652127577,3.2464629407133865,4,0,4,0,0,360.1,True,,"PRIMARY (Phase 11, outside family)",0
hmm_3_states,HMM states,5,0.4,4173,2010-01-04,2026-08-06,-0.0284005287295657,-0.1069682267331422,0.0483991579950814,True,0.7633,False,-0.0017977192206964,0.0770420391110447,0.0788397583317412,-0.0039803240565221,0.0023857739526659,54.111690932706615,108.22338186541324,16.93822270101275,10.822338186541325,0.398844598773553,0.3988122840914828,0.3996865923583743,2.993681574069345,3.2464629407133865,5,0,5,0,0,616.1,True,1.0,robustness (Holm-adjusted),1
drop_vix,feature set,5,0.4,4173,2010-01-04,2026-08-06,0.0466601317235554,-0.045884984717682,0.1377829250817775,True,0.1606,True,-0.001173612245018,0.0776661460867231,0.0788397583317412,0.0028892036232213,0.0036050438425974,62.79507865751316,125.59015731502632,16.93822270101275,12.559015731502631,0.3987205876932848,0.3988122840914828,0.4013127439181613,2.949305933424017,3.2464629407133865,0,0,0,0,0,295.6,True,1.0,robustness (Holm-adjusted),2
drop_realized_vol,feature set,5,0.4,4173,2010-01-04,2026-08-06,-0.0234795246873249,-0.1077583061285502,0.0591529126767305,True,0.7084,False,-0.0005246604539354,0.0783150978778057,0.0788397583317412,-0.0024556584802521,0.0002523802434951,66.07454261754663,132.14908523509325,16.93822270101275,13.214908523509328,0.398823200630249,0.3988122840914828,0.4003744077172816,3.027032492658201,3.2464629407133865,5,0,5,0,0,367.6,True,1.0,robustness (Holm-adjusted),3
rolling_5y_window,estimation window,5,0.4,4173,2010-01-04,2026-08-06,0.0224428623839005,-0.0625460022939163,0.1082064064553061,True,0.2995,True,-0.002059207019226,0.0766808657798222,0.0787400727990483,5.547078387180271e-05,-0.0038567762365379,40.959302425850325,81.91860485170065,19.28908994222456,8.191860485170064,0.3988014859753991,0.3988392821412664,0.40082321986746,2.894266510663465,2.999156957865864,4,0,4,0,0,2.1,True,1.0,robustness (Holm-adjusted),4
cap_30pct,weight cap,5,0.3,4173,2010-01-04,2026-08-06,0.0503605354543732,0.0086107768685482,0.0932070462469313,False,0.0111,True,0.0003326809349072,0.0909327699395297,0.0906000890046224,0.005344277248366,-5.122289867909302e-05,26.669532219163333,53.339064438326666,18.07798771744602,5.333906443832667,0.2988962802249028,0.2989531789641552,0.3042763971558566,3.695910214644605,3.6726328027375503,4,0,4,0,0,2.0,True,0.1332,robustness (Holm-adjusted),5
cap_50pct,weight cap,5,0.5,4173,2010-01-04,2026-08-06,0.0169381835764014,-0.0749907948568304,0.1076347150151208,True,0.3512,True,-0.0013684017995307,0.0683417474870565,0.0697101492865873,3.5068752387568125e-05,4.792385149154921e-05,47.883895886713,95.767791773426,15.924159658520107,9.5767791773426,0.4986926296826612,0.4987246302186508,0.4986926296826612,2.612720127863921,2.835029369759916,4,0,4,0,0,2.1,True,1.0,robustness (Holm-adjusted),6
neff_kappa_30,shrinkage threshold,5,0.4,4173,2010-01-04,2026-08-06,0.0220555023148441,-0.0748672122085321,0.1173570916951382,True,0.3212,True,-0.0017463091816143,0.0770934491501268,0.0788397583317412,0.0002823506813556,-0.0003151620978258,54.482051968780695,108.9641039375614,16.93822270101275,10.89641039375614,0.3987797634235648,0.3988122840914828,0.4015159205648059,2.924628170164739,3.2464629407133865,4,0,4,0,0,2.1,True,1.0,robustness (Holm-adjusted),7
neff_kappa_120,shrinkage threshold,5,0.4,4173,2010-01-04,2026-08-06,0.0190826700555093,-0.0737991719505384,0.1097819132454143,True,0.3366,True,-0.0017701218468831,0.077069636484858,0.0788397583317412,1.1142467378322252e-05,-0.0002563266890875,53.52344856000965,107.0468971200193,16.93822270101275,10.70468971200193,0.3987831172306245,0.3988122840914828,0.4013710864778007,2.924775736123942,3.2464629407133865,4,0,4,0,0,2.1,True,1.0,robustness (Holm-adjusted),8
core_universe,universe,3,0.4,4173,2010-01-04,2026-08-06,0.0160252764310305,-0.0681584482046761,0.1000184608241959,True,0.3508,True,-0.0018766625501905,0.0762383608070725,0.0781150233572631,-0.0002786375625478,0.00095056651358,37.218333875352926,74.43666775070585,16.50517964268051,7.443666775070585,0.398834135242707,0.3988521806805886,0.4015408931770912,2.837470276063345,2.927877542721484,4,0,4,0,0,360.2,True,1.0,robustness (Holm-adjusted),9
