date,strategy,covariance_source,solver_success,solver_status,iterations,objective_value,covariance_hash,fallback_requested,sum_weights,minimum_weight,maximum_weight,constraint_violation,cap_binding_count
2009-12-31,equal_weight,none,True,rule_based,0,,,False,1,0.2,0.2,0,0
2009-12-31,static_6040,none,True,rule_based,0,,,False,1,0,0.6,0,0
2009-12-31,static_minvar,training_window_ledoit_wolf,True,Optimization terminated successfully,8,3.7910651e-05,73deb11a4da03784,False,1,1.254964e-17,0.4,0,1
2009-12-31,rolling_lw_minvar,rolling_ledoit_wolf,True,Optimization terminated successfully,8,3.7910651e-05,73deb11a4da03784,False,1,1.254964e-17,0.4,0,1
2009-12-31,ewma_scaled_minvar,ewma_vol_x_lw_correlation,True,Optimization terminated successfully,7,1.5905036e-05,b08d3f0347622a45,False,1,8.3146501e-17,0.4,0,2
2009-12-31,regime_minvar,a2_consumed,True,Optimization terminated successfully,8,3.7910651e-05,73deb11a4da03784,False,1,1.254964e-17,0.4,0,1
2010-01-29,equal_weight,none,True,rule_based,0,,,False,1,0.2,0.2,0,0
2010-01-29,static_6040,none,True,rule_based,0,,,False,1,0,0.6,0,0
2010-01-29,static_minvar,training_window_ledoit_wolf,True,Optimization terminated successfully,8,3.7910651e-05,73deb11a4da03784,False,1,1.254964e-17,0.4,0,1
2010-01-29,rolling_lw_minvar,rolling_ledoit_wolf,True,Optimization terminated successfully,8,3.7812987e-05,33e1f24c8f11db95,False,1,3.4307905e-17,0.4,0,1
2010-01-29,ewma_scaled_minvar,ewma_vol_x_lw_correlation,True,Optimization terminated successfully,7,2.1074492e-05,b140b76392ec93f1,False,1,0,0.4,0,1
2010-01-29,regime_minvar,a2_consumed,True,Optimization terminated successfully,10,5.3083147e-05,bb309c87993ace62,False,1,1.065352e-17,0.4,0,1
2010-02-26,equal_weight,none,True,rule_based,0,,,False,1,0.2,0.2,0,0
2010-02-26,static_6040,none,True,rule_based,0,,,False,1,0,0.6,0,0
2010-02-26,static_minvar,training_window_ledoit_wolf,True,Optimization terminated successfully,8,3.7910651e-05,73deb11a4da03784,False,1,1.254964e-17,0.4,0,1
2010-02-26,rolling_lw_minvar,rolling_ledoit_wolf,True,Optimization terminated successfully,8,3.7863098e-05,06ca4969bda95bed,False,1,0,0.4,0,1
2010-02-26,ewma_scaled_minvar,ewma_vol_x_lw_correlation,True,Optimization terminated successfully,10,2.1159496e-05,83dd35bf03a274a7,False,1,6.7367707e-18,0.4,1.110223e-16,1
2010-02-26,regime_minvar,a2_consumed,True,Optimization terminated successfully,10,5.281917e-05,dc9b9901ecadafc8,False,1,1.0804011e-17,0.4,0,1
2010-03-31,equal_weight,none,True,rule_based,0,,,False,1,0.2,0.2,0,0
2010-03-31,static_6040,none,True,rule_based,0,,,False,1,0,0.6,0,0
2010-03-31,static_minvar,training_window_ledoit_wolf,True,Optimization terminated successfully,8,3.7910651e-05,73deb11a4da03784,False,1,1.254964e-17,0.4,0,1
2010-03-31,rolling_lw_minvar,rolling_ledoit_wolf,True,Optimization terminated successfully,8,3.7495832e-05,a6002a24db84bf44,False,1,1.0476209e-17,0.4,0,1
2010-03-31,ewma_scaled_minvar,ewma_vol_x_lw_correlation,True,Optimization terminated successfully,8,1.0816683e-05,fba892beaadecda9,False,1,3.9221014e-17,0.4,0,2
2010-03-31,regime_minvar,a2_consumed,True,Optimization terminated successfully,10,5.17159e-05,03ab7476bc33ce8c,False,1,0,0.4,0,1
2010-04-30,equal_weight,none,True,rule_based,0,,,False,1,0.2,0.2,0,0
2010-04-30,static_6040,none,True,rule_based,0,,,False,1,0,0.6,0,0
2010-04-30,static_minvar,training_window_ledoit_wolf,True,Optimization terminated successfully,8,3.7910651e-05,73deb11a4da03784,False,1,1.254964e-17,0.4,0,1
