asset,comparison,mean_qlike_diff,hac_se,ci95_lower,ci95_upper,dm_stat,p_value,n,favors,p_holm
GLD,ewma vs hist63,-0.0171495,0.0225926,-0.061431,0.027132,-0.759076,0.447807,249,ewma,0.895615
IEF,ewma vs hist63,0.0036791,0.015717,-0.0271263,0.0344845,0.234084,0.81492,249,hist63,0.895615
IWM,ewma vs hist63,-0.0998937,0.0808114,-0.258284,0.0584967,-1.23613,0.216409,249,ewma,0.79032
QQQ,ewma vs hist63,-0.0828151,0.0534048,-0.187488,0.0218583,-1.55071,0.120972,249,ewma,0.79032
SPY,ewma vs hist63,-0.119882,0.0807935,-0.278237,0.0384733,-1.48381,0.13786,249,ewma,0.79032
GLD,garch11 vs hist63,-0.0630968,0.0236984,-0.109546,-0.016648,-2.6625,0.00775636,249,garch11,0.108589
IEF,garch11 vs hist63,-0.0155526,0.011212,-0.0375281,0.00642293,-1.38714,0.1654,249,garch11,0.79032
IWM,garch11 vs hist63,-0.14887,0.0939076,-0.332929,0.0351891,-1.58528,0.112903,249,garch11,0.79032
QQQ,garch11 vs hist63,-0.14961,0.0645689,-0.276166,-0.0230554,-2.31707,0.0205001,249,garch11,0.246001
SPY,garch11 vs hist63,-0.217419,0.102842,-0.41899,-0.0158484,-2.1141,0.0345064,249,garch11,0.345064
GLD,garch11 vs ewma,-0.0459473,0.0242925,-0.0935607,0.00166608,-1.89142,0.0585688,249,garch11,0.52712
IEF,garch11 vs ewma,-0.0192317,0.0104671,-0.0397471,0.00128374,-1.83735,0.0661576,249,garch11,0.529261
IWM,garch11 vs ewma,-0.048976,0.0226485,-0.0933671,-0.00458497,-2.16244,0.0305842,249,garch11,0.336427
QQQ,garch11 vs ewma,-0.0667954,0.0204096,-0.106798,-0.0267926,-3.27274,0.00106509,249,garch11,0.0159764
SPY,garch11 vs ewma,-0.0975375,0.0381703,-0.172351,-0.0227238,-2.55533,0.0106088,249,garch11,0.137915
