,mkt_log_return,realized_vol_21d,log_vix,yield_slope,dff
level:mkt_log_return,1.000000,-0.006965,-0.134344,-0.001494,-0.000804
level:realized_vol_21d,-0.006965,1.000000,0.801858,0.126551,-0.156338
level:log_vix,-0.134344,0.801858,1.000000,0.230004,-0.246303
level:yield_slope,-0.001494,0.126551,0.230004,1.000000,-0.757489
level:dff,-0.000804,-0.156338,-0.246303,-0.757489,1.000000
change:mkt_log_return,1.000000,0.042205,-0.565582,0.068745,-0.021555
change:realized_vol_21d,0.042205,1.000000,0.152631,-0.017099,-0.015734
change:log_vix,-0.565582,0.152631,1.000000,-0.061105,0.022579
change:yield_slope,0.068745,-0.017099,-0.061105,1.000000,0.003731
change:dff,-0.021555,-0.015734,0.022579,0.003731,1.000000
