,period,start,end,asset,ann_return_cagr_pct,ann_vol_pct,max_drawdown_pct,spy_ief_corr,mean_vix
0,full_sample,2004-11-18,2026-08-06,SPY,11.021175,18.902554,-55.189421,-0.283985,19.104134
1,full_sample,2004-11-18,2026-08-06,QQQ,15.228007,21.620472,-53.404032,-0.283985,19.104134
2,full_sample,2004-11-18,2026-08-06,IWM,8.958846,24.059371,-58.639976,-0.283985,19.104134
3,full_sample,2004-11-18,2026-08-06,IEF,3.129187,6.738399,-23.924771,-0.283985,19.104134
4,full_sample,2004-11-18,2026-08-06,GLD,10.544878,18.246281,-45.555013,-0.283985,19.104134
5,training_window,2004-11-18,2009-12-31,SPY,0.825617,23.727135,-55.189421,-0.360260,21.277060
6,training_window,2004-11-18,2009-12-31,QQQ,3.591502,24.313633,-53.404032,-0.360260,21.277060
7,training_window,2004-11-18,2009-12-31,IWM,1.451560,29.095071,-58.639976,-0.360260,21.277060
8,training_window,2004-11-18,2009-12-31,IEF,4.867840,7.238196,-10.401343,-0.360260,21.277060
9,training_window,2004-11-18,2009-12-31,GLD,18.856624,22.416658,-29.414136,-0.360260,21.277060
10,pre_2020,2010-01-04,2019-12-31,SPY,13.272551,14.717466,-19.348926,-0.465632,16.859046
11,pre_2020,2010-01-04,2019-12-31,QQQ,17.699129,17.277204,-22.796658,-0.465632,16.859046
12,pre_2020,2010-01-04,2019-12-31,IWM,11.580794,19.254583,-28.914771,-0.465632,16.859046
13,pre_2020,2010-01-04,2019-12-31,IEF,4.397950,5.959877,-9.075519,-0.465632,16.859046
14,pre_2020,2010-01-04,2019-12-31,GLD,2.675242,15.527189,-45.555013,-0.465632,16.859046
15,covid,2020-02-03,2020-12-31,SPY,19.242531,35.026996,-33.717254,-0.504521,30.637155
16,covid,2020-02-03,2020-12-31,QQQ,46.471281,37.271803,-28.559382,-0.504521,30.637155
17,covid,2020-02-03,2020-12-31,IWM,24.789877,42.753774,-40.821030,-0.504521,30.637155
18,covid,2020-02-03,2020-12-31,IEF,7.015400,7.302747,-4.675688,-0.504521,30.637155
19,covid,2020-02-03,2020-12-31,GLD,22.250771,20.225972,-14.038889,-0.504521,30.637155
20,tightening_2022,2022-01-03,2023-10-31,SPY,-5.648999,20.102462,-24.496409,0.125059,21.954609
21,tightening_2022,2022-01-03,2023-10-31,QQQ,-6.557334,26.963654,-34.827974,0.125059,21.954609
22,tightening_2022,2022-01-03,2023-10-31,IWM,-14.671928,24.311829,-26.923951,0.125059,21.954609
23,tightening_2022,2022-01-03,2023-10-31,IEF,-10.436844,9.794273,-18.774290,0.125059,21.954609
24,tightening_2022,2022-01-03,2023-10-31,GLD,5.036359,14.382063,-21.032844,0.125059,21.954609
25,post_2020,2020-01-02,2026-08-06,SPY,15.619421,20.274558,-33.717254,-0.061264,20.822746
26,post_2020,2020-01-02,2026-08-06,QQQ,20.653956,25.057048,-35.118716,-0.061264,20.822746
27,post_2020,2020-01-02,2026-08-06,IWM,10.683712,26.213605,-41.072382,-0.061264,20.822746
28,post_2020,2020-01-02,2026-08-06,IEF,-0.180235,7.416297,-23.924771,-0.061264,20.822746
29,post_2020,2020-01-02,2026-08-06,GLD,16.362484,18.436763,-26.404518,-0.061264,20.822746
