asset,model,qlike,mae_var_1e4,rmse_var_1e4,n,qlike_oos2010,mae_var_1e4_oos2010,rmse_var_1e4_oos2010,n_oos2010
GLD,ewma,0.269888,14.6806,26.5527,249,0.29755,13.5121,24.0558,199
GLD,garch11,0.22394,14.7844,25.8614,249,0.239455,13.434,22.9105,199
GLD,hist63,0.287037,15.8121,28.7005,249,0.309795,13.5834,24.6829,199
IEF,ewma,0.176948,1.68024,3.21837,249,0.182665,1.61681,3.26619,199
IEF,garch11,0.157716,1.65078,3.12363,249,0.160171,1.58954,3.17671,199
IEF,hist63,0.173269,1.68802,3.14041,249,0.184353,1.63041,3.21314,199
IWM,ewma,0.283788,27.3938,69.921,249,0.311384,24.1624,67.5013,199
IWM,garch11,0.234812,24.6688,65.9545,249,0.242584,21.952,62.286,199
IWM,hist63,0.383682,31.0992,78.4363,249,0.420015,26.2301,71.5322,199
QQQ,ewma,0.337847,24.7129,59.355,249,0.37722,23.2921,58.1055,199
QQQ,garch11,0.271051,22.4435,55.374,249,0.290975,20.7252,51.9724,199
QQQ,hist63,0.420662,27.6369,65.8096,249,0.472853,25.8597,62.0475,199
SPY,ewma,0.423692,21.5626,64.5909,249,0.455058,18.0478,57.3026,199
SPY,garch11,0.326155,19.0543,59.187,249,0.328696,16.0073,50.9402,199
SPY,hist63,0.543574,24.6121,71.4165,249,0.587818,20.0466,59.6745,199
